year,Utqiagvik_213,BylotIsland_100,BylotIsland_400,Igloolik Island_114,Karupelv Valley_75,Hochstetter Forland_100,Fennoscandia_x,Alaska,Wrangel
1986,NA,NA,NA,NA,NA,NA,NA,0,NA
1987,NA,NA,NA,NA,NA,NA,NA,212,NA
1988,NA,NA,NA,NA,0,NA,27,2946,NA
1989,NA,NA,NA,NA,6,NA,15,1149,NA
1990,NA,NA,NA,NA,12,NA,NA,354,34
1991,NA,NA,NA,NA,0,NA,2,240,54
1992,4,NA,NA,NA,0,NA,NA,300,54
1993,22,12,NA,NA,0,NA,NA,805,86
1994,12,0,NA,NA,5,NA,NA,232,120
1995,53,0,NA,NA,0,NA,NA,5057,83
1996,25,7,NA,NA,0,NA,2,1293,3
1997,0,0,NA,NA,0,NA,1,281,NA
1998,0,0,NA,NA,13,NA,NA,414,60
1999,31,0,NA,NA,3,NA,NA,590,105
2000,18,12,13,NA,0,NA,NA,98,53
2001,0,0,0,NA,0,NA,NA,84,86
2002,7,0,0,NA,0,NA,10,918,70
2003,8,0,0,NA,0,NA,1,795,39
2004,0,13,22,NA,1,NA,1,50,18
2005,7,0,0,NA,0,NA,NA,262,3
2006,37,0,0,NA,0,NA,1,2778,40
2007,0,1,17,NA,0,NA,12,1665,49
2008,37,9,20,NA,0,NA,NA,190,31
2009,0,0,0,NA,0,NA,1,1241,106
2010,0,10,34,NA,0,0,NA,167,105
2011,8,0,0,2,2,0,56,2544,NA
2012,12,0,0,0,4,1,NA,3261,NA
2013,0,0,0,1,0,1,NA,380,NA
2014,23,20,98,0,0,0,NA,742,NA
2015,5,0,0,0,0,0,70,976,NA
2016,7,0,4,0,0,0,NA,123,NA
2017,0,0,0,0,0,1,NA,69,NA
2018,7,0,0,0,0,0,NA,NA,NA
2019,8,7,10,0,0,0,NA,NA,NA
2020,2,10,NA,0,8,0,NA,NA,NA
